index,owner,repo,commit_sha,source
99,szeider,consult7,99e3fa8003635e5287bf1963e16cb3f3713c4655,Own_Extracted_Dataset.xlsx
100,stair-lab,kg-gen,63726f4d1262b947423d9818ebb8ce16a20a7c1f,Own_Extracted_Dataset.xlsx
101,omarkamali,borgllm,8f3aefdaef172393b1520baba177cc6170ba464e,Own_Extracted_Dataset.xlsx
102,Aider-AI,aider,7301d4522dd41738a4a3488f51e051766391653b,Own_Extracted_Dataset.xlsx
103,canivel,axiom-rl,5454e4d702196d0f8db9a35384ab0bc5b033369f,Own_Extracted_Dataset.xlsx
104,chflame163,ComfyUI_LayerStyle_Advance,18435772d12ac59e98dfb2555ad380359c6efd9f,Own_Extracted_Dataset.xlsx
105,dmzoneill,jira-creator,861d47f6ebfe34a44e72b399df5e595b0611d487,Own_Extracted_Dataset.xlsx
106,facebookresearch,matrix,16ecee48f3433878ac0495737ee1ecf4b3e02e59,Own_Extracted_Dataset.xlsx
107,aidatatools,ollama-benchmark,1ff542b44597c3692dd3ea4569fd2619a61e31a9,Own_Extracted_Dataset.xlsx
108,laxmimerit,MCP-Mastery-with-Claude-and-Langchain,8d95c93b5b8dfad6ce1717f851625ad128c2dd79,Own_Extracted_Dataset.xlsx
109,Jilliansea,TinyZeroWithSFT,1fe50777fc1b6b441058a4ae35e5514a7036e8bf,Own_Extracted_Dataset.xlsx
110,daekeun-ml,ipynb-translator,361a1f5cf81812fe29ca376cd3d51e2c247a8cd6,Own_Extracted_Dataset.xlsx
111,yytdfc,llm-performance-viz,35acb42d1905189d3c08f94a2d70bf2e96ffecaa,Own_Extracted_Dataset.xlsx
112,1789336421,Omni-Mol,8a9426d9a14d52efaf70942e79dc2819cf204f0c,Own_Extracted_Dataset.xlsx
113,nebHailemariam,deepseek-mini,1ed90eba7700de4f5a0ffdb9eedea970f54ccfbf,Own_Extracted_Dataset.xlsx
114,ai-christianson,RA.Aid,e71bb83dcfdf8796d41c746ad99bf4838d1d5914,Own_Extracted_Dataset.xlsx
115,umbertogriffo,rag-chatbot,0cd6309bcd3fc42aa8c225d304b1dd3878c881eb,Own_Extracted_Dataset.xlsx
116,ZutJoe,KoalaHackerNews,8001dbe139bd89ded61b1dfde2114b1f1b4bc488,Own_Extracted_Dataset.xlsx
117,aws-samples,sample_agentic_ai_strands,f93a74c6a235027c01785628c15a37ca25fa5186,Own_Extracted_Dataset.xlsx
118,lamalab-org,GPMs-book,4df9a2db2c2980af1e573436e27fc6374f14eadc,Own_Extracted_Dataset.xlsx
119,GalTransl,GalTransl,89aee00f7fb4ffd681dc056dc7fb4b26fa64d783,Own_Extracted_Dataset.xlsx
120,openaiotlab,ContextAgent,f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,Own_Extracted_Dataset.xlsx
121,bf-yang,ContextAgent,f4674bf2a1385ce829c6a7f2ea9c53871dd1a8ce,Own_Extracted_Dataset.xlsx
122,Kurt232,RLKV,03a4c4d4f396cf912d4dad982b26625f0efefccd,Own_Extracted_Dataset.xlsx
123,hailsham,mcpverse,982f66cab6112a50536a83eb84053c88245e814f,Own_Extracted_Dataset.xlsx
124,nrl-ai,llama-assistant,d06708e16f76c5d43c688769980360735d0dbba2,Own_Extracted_Dataset.xlsx
125,sailself,TelegramGroupHelperBot,2516740b56578ae81540f02920dd959623c79a54,Own_Extracted_Dataset.xlsx
126,Azure-Samples,deepseek-python,5d191c114045a8709baf13be95025463cba7af10,Own_Extracted_Dataset.xlsx
127,codedog-ai,codedog,a1702a4ab933c7c071318e688a5a3b6948b423d0,Own_Extracted_Dataset.xlsx
128,DIGIT-X-Lab,MOSAICX,b1cf7ddd60f9d34be535d0493fbf9b5d324de592,Own_Extracted_Dataset.xlsx
129,NikolasEnt,ollama-webui-intel,3eebfd300b36f2c8fcda00d98b48b66a7c423e2c,Own_Extracted_Dataset.xlsx
130,Anemll,Anemll,6ecb10d7dfe90533af13ac23c825ca76aab0c56e,Own_Extracted_Dataset.xlsx
131,ariannamethod,ariannamethod,de35fe338db13d1abeae51e3f4c43a9343bccf1a,Own_Extracted_Dataset.xlsx
132,MLNLP-World,reasoning-from-scratch-CN,c1f9001ed3dc75b9e4b38a4f1f6c16a6cd6ad268,Own_Extracted_Dataset.xlsx
133,AIGeeksGroup,MobileVLA-R1,2554dfdba8190687ad4f417066ad7ce62b60247e,Own_Extracted_Dataset.xlsx
134,Simple-Efficient,RL-Factory,d0abc1dbac31cf936af4d4a50009e337a9406f94,Own_Extracted_Dataset.xlsx
135,thu-nics,TaH,03c9f24665b1b5d18938e95d1d5275b63c6b4451,Own_Extracted_Dataset.xlsx
136,illuin-tech,colpali,4db75353439ee0961950aeb60ce66fff472ac8ac,Own_Extracted_Dataset.xlsx
137,Blaizzy,mlx-vlm,c4ea290e47e2155b67d94c708c662f8ab64e1b37,Own_Extracted_Dataset.xlsx
138,Moenupa,VTCBench,840d288c1a85fc9d6ace038385fcd0349ae1129c,Own_Extracted_Dataset.xlsx
139,volcengine,MineContext,fecace9afc6f566e9f2d4601237a51296e3fa41c,Own_Extracted_Dataset.xlsx
140,duyhominhnguyen,Exgra-Med,e9a3daaf912a82bccdc3bad26b9661325d47ea60,Own_Extracted_Dataset.xlsx
141,cambrian-mllm,cambrian-s,9b770e46ed09ff0245f6455b7e091e9ace8c22ee,Own_Extracted_Dataset.xlsx
142,Gumpest,SparseVLMs,e58d8986399b645b7631ed08807821b6157c52ae,Own_Extracted_Dataset.xlsx
143,InternRobotics,InternVLA-M1,0d810e2e5cbab8f682a77a180298b5b95b8f0ae4,Own_Extracted_Dataset.xlsx
144,mbodiai,embodied-agents,b0ae7f791d2940b401f5f24fa120d9ee0afeca45,Own_Extracted_Dataset.xlsx
145,CVHub520,X-AnyLabeling,58b1f255afea17c4f2d877a7a4d3085c21c83cfd,Own_Extracted_Dataset.xlsx
146,Mr-Loevan,HSA-DPO,dbb76cdac9ab2704c2f2a779ee1d8b22876a4eba,Own_Extracted_Dataset.xlsx
147,Zhoues,RoboRefer,d97a995ad28376720a4c8beb64915c58ed16c844,Own_Extracted_Dataset.xlsx
148,thaoshibe,relsim,bc043219b625e804a47a313728ff7d4545482912,Own_Extracted_Dataset.xlsx
149,CVHub520,X-AnyLabeling-Server,8ff87303a15352883c37c61bd01fbe6f66866445,Own_Extracted_Dataset.xlsx
150,NVIDIA-NeMo,DataDesigner,b635e41033e7b5a5f6cbebafa79588fc2d9eb4cb,Own_Extracted_Dataset.xlsx
151,EuroEval,EuroEval,f8854a53adee88ca85bdfaa359c0700b62766b7d,Own_Extracted_Dataset.xlsx
152,brendanhogan,2025_advent_of_small_ml,f6aacd728812835360057d6a93b910dd5eef9c3d,Own_Extracted_Dataset.xlsx
153,Kiln-AI,Kiln,229b88880644ff3114b895a68186096abf1231cd,Own_Extracted_Dataset.xlsx
154,inclusionAI,AReaL,b942ed019df2c66b851c397c0836fd31a3787b70,Own_Extracted_Dataset.xlsx
155,NikolasMarkou,dl_techniques,b0440cd74adc5c700fc9c45712e426ee2266b1ce,Own_Extracted_Dataset.xlsx
156,microsoft,RD-Agent,ce8d6a75720006d558461a981d71b9b268f5b202,Own_Extracted_Dataset.xlsx
157,Eventual-Inc,daft-examples,0659b337ced7ec5bb7368fdf3a9b58e853531684,Own_Extracted_Dataset.xlsx
158,FF-crazy,CodexProxy,8449bd2c1423c18833fe07dc384caac32ed80294,Own_Extracted_Dataset.xlsx
159,Realiserad,fish-ai,35cadf89fcc671a2fd4bc0f206ff774df900c4c8,Own_Extracted_Dataset.xlsx
160,kureha-yamaguchi,reasoning-manipulation,40f3e206f993812dab0de093d3283cc394a17962,Own_Extracted_Dataset.xlsx
161,matsonj,eval-connections,e78f8c3a8260288921322be53439889d9ff41478,Own_Extracted_Dataset.xlsx
162,rgoerwit,ai-investment-agent,45db67935ad0571460c30185c0577d3c32db6dbe,Own_Extracted_Dataset.xlsx
163,DrDavidL,sem-mem,90b30bdd4da194cc48e85e931547deec0a7b5e2c,Own_Extracted_Dataset.xlsx
164,Eran-BA,PoT,630445e8ad2c31e2517bd93906cc1aba5b0d2396,Own_Extracted_Dataset.xlsx
165,rasbt,LLMs-from-scratch,d7f178d28bdf56732b01544d5718bfed637ac6f9,Own_Extracted_Dataset.xlsx
166,Jakedismo,codegraph-rust,aefc37362bc7923046d9f15caac6ad3b2f219b48,Own_Extracted_Dataset.xlsx
167,matdev83,llm-interactive-proxy,e5f0eababe6ed1a4cb3bce8a0227b2897606a208,Own_Extracted_Dataset.xlsx
168,EvolvingLMMs-Lab,OpenMMReasoner,d7bf5769469800d636b69945b81f1ba51b89695e,Own_Extracted_Dataset.xlsx
169,Azure-Samples,autoauth-solution-accelerator,ee3be31a0b58403beb24813d7ca7de50604ad66d,Own_Extracted_Dataset.xlsx
170,yichuan-w,LEANN,a6ee95b18a64a29e9dd158c126d5b69a36bab1cf,Own_Extracted_Dataset.xlsx
171,EvolvingLMMs-Lab,LongVT,93a349cf9b79fa3bf95e3e131b506e10a6329dc6,Own_Extracted_Dataset.xlsx
172,agentscope-ai,agentscope,19cba5ce88b4865b72e4c2b6ea9f3c0a8e9b66c2,Own_Extracted_Dataset.xlsx
173,numinouslabs,numinous,877147b4d976eea8d70e7e82287eafe7e6fc200c,Own_Extracted_Dataset.xlsx
174,chrishayuk,mcp-cli,ae6db3d572c604b4b0b3e9b9d2136eca043ea109,Own_Extracted_Dataset.xlsx
175,feiskyer,koder,16c8d8c96c33b5a6749b0af83c4778a06c117b4e,Own_Extracted_Dataset.xlsx
176,rscheiwe,vel,41e4dd67e162cc719ad90d3294ebe758e9ea8a7d,Own_Extracted_Dataset.xlsx
177,nottelabs,notte,e0d11b0b123ed15ddb0f6edba3b7231cd56ab6b3,Own_Extracted_Dataset.xlsx
178,taylorai,lm-deluge,96124f3c6010848b4f34232a5ed7e0adc9bd17cc,Own_Extracted_Dataset.xlsx
179,icip-cas,ScaleBox,13db955df0bb64e16496600970f6d2274af40b64,Own_Extracted_Dataset.xlsx
180,yash91sharma,MALTopic-py,134ba5cf75b5f52df844c6a2bf7df2ef3115dba7,Own_Extracted_Dataset.xlsx
181,kanna5,brave-byom-proxy,f79b9ada6c182e3d5e1d408ce00eb242c213aac9,Own_Extracted_Dataset.xlsx
