project_id,files_touched,rules_touched,occurrences
YalaLab__rate-evals__561813881b4e956c04a6a5a14d4ff6f69ff5c926,1,1,2
ZJU-REAL__EasySteer__431e6a6a212d6f3282d4c4d1c3628398df1c3e2f,10,1,16
ZYangChen__openvla__424fc4d5f27d3f73cb01f913dfe340920b6d6d5e,3,1,3
ZhiHui6__zhihui_nodes_comfyui__e39c46013a70968aea1ed1e17fbd74259be1c20b,2,4,22
Zhoues__RoboRefer__d97a995ad28376720a4c8beb64915c58ed16c844,31,6,70
Zxy-MLlab__BadVLA__ae0480301a791be470f1ce61bedc0fc49e44a88e,3,1,3
abetlen__llama-cpp-python__main,4,5,8
agentscope-ai__agentscope__19cba5ce88b4865b72e4c2b6ea9f3c0a8e9b66c2,6,5,27
agentuniverse-ai__agentUniverse__d11c8f4e2ff4c9b8f9a0a7f5f796f16b9f24affd,8,4,22
ai-christianson__RA.Aid__e71bb83dcfdf8796d41c746ad99bf4838d1d5914,1,1,6
ai-dynamo__dynamo__aaed4f3b873aee186dfa176709b850a1234d32b4,12,1,14
ai4colonoscopy__IntelliScope__cd5866df79dda4619b337618e4d9d23d9f3a4e86,5,1,13
ai8hyf__babyagi__6fcd528a92c80846dbb351f2b7babdd50c38709d,1,2,3
aidatatools__ollama-benchmark__1ff542b44597c3692dd3ea4569fd2619a61e31a9,1,1,1
aidriventesting__Agent__52ff806c145524e3199278cd8a16e54c4fd2f2b6,5,6,21
aigeek0x0__chat-with-multiple-pdfs-streamlit-langchain-faiss-openai__3cc2b0ac1522d6a78a998759ea212052ddefb3b7,1,2,2
aiming-lab__SynthAgent__66e9605330ec013a002e89d93b2e63c81b25bc8a,1,3,3
aixplain__aiXplain__6e076b13c813dc6ae56679037bfc5db83386d3ef,1,1,1
alejandro-ao__ask-multiple-pdfs__362e85213a01d73772d5319fb9819e026ecbe8a7,1,2,2
alejandro-ao__open-deep-research-w-firecrawl__6f38ba6e562ac67423516d8e1187ac31bb9724c5,2,3,6
aliasrobotics__cai__da1c6202e5857494a1968937c60c5030467dcabd,3,6,15
alibaba__ROLL__c7e897d41cff9449088e8f8403d44cbc24fcf4ca,16,5,30
allenai__DrawEduMath__396ce39240ddd6805ce68602b9675ea7b7cf7149,4,5,15
allenai__molmoact__bdb24ec61618c26f9a049965ff8e3d12f66b4ab4,6,5,18
allenai__olmocr__b274e893d7d80f7063b52e1de357170b4beb7262,30,7,90
